id,clave,descripcion
catalogos_clave_prod_stcc277,285,"Pinturas, barnices y lacas"
catalogos_clave_prod_stcc278,286,Productos químicos de goma y madera
catalogos_clave_prod_stcc279,287,Químicos agriculturales
catalogos_clave_prod_stcc280,2871,Fertilizantes
catalogos_clave_prod_stcc281,289,Productos químicos misceláneos
catalogos_clave_prod_stcc282,2892,Explosivos
catalogos_clave_prod_stcc283,28991,Sal común
catalogos_clave_prod_stcc284,29,Productos de petróleo y carbón
catalogos_clave_prod_stcc285,291,Productos de refino de petróleo
catalogos_clave_prod_stcc286,29111,"Gasolina, combustible para aviones, etc."
catalogos_clave_prod_stcc287,29112,Queroseno
catalogos_clave_prod_stcc288,29113,Aceite combustible destilado
catalogos_clave_prod_stcc289,29114,Aceites lubricantes y similares
catalogos_clave_prod_stcc290,29115,Grasas lubricantes
catalogos_clave_prod_stcc291,29116,"Asfalto, alquitrán y brea"
catalogos_clave_prod_stcc292,29117,Aceite combustible residual
catalogos_clave_prod_stcc293,29119,"Prd de refino de gasolina, nec"
catalogos_clave_prod_stcc294,2912,Gases licuados del petróleo
catalogos_clave_prod_stcc295,295,Materiales de pavimentación y techado
catalogos_clave_prod_stcc296,2951,Bloques y mezclas de pavimento de asfalto
catalogos_clave_prod_stcc297,2952,Fieltro y revestimientos asfálticos
catalogos_clave_prod_stcc298,299,Varios petróleo y carbón
catalogos_clave_prod_stcc299,29911,Briquetas de carbón y coque
catalogos_clave_prod_stcc300,29913,Coque de gasolina sin briquetas
catalogos_clave_prod_stcc301,29914,Coque producido a partir del carbón
catalogos_clave_prod_stcc302,30,Productos de caucho y plástico
catalogos_clave_prod_stcc303,301,Neumáticos y cámaras de aire
catalogos_clave_prod_stcc304,302,Calzado de caucho y plástico
catalogos_clave_prod_stcc305,303,Caucho recuperado
catalogos_clave_prod_stcc306,304,Mangueras y correas de caucho y plástico
catalogos_clave_prod_stcc307,306,Caucho fabricado misceláneo
catalogos_clave_prod_stcc308,307,Productos diversos de plástico
catalogos_clave_prod_stcc309,31,Cuero y productos de cuero
catalogos_clave_prod_stcc310,311,Cuero
catalogos_clave_prod_stcc311,312,Cinturones de cuero industriales
catalogos_clave_prod_stcc312,313,Stock de corte de bota y zapato
catalogos_clave_prod_stcc313,314,"Calzado, excepto caucho o plástico"
catalogos_clave_prod_stcc314,315,Guantes y manoplas de cuero
catalogos_clave_prod_stcc315,316,"Equipaje, bolsos"
catalogos_clave_prod_stcc316,319,Marroquinería miscelánea
catalogos_clave_prod_stcc317,32,"Productos de piedra, arcilla y vidrio"
catalogos_clave_prod_stcc318,321,Vidrio plano
catalogos_clave_prod_stcc319,322,Vidrio y cristalería
catalogos_clave_prod_stcc320,3221,Contenedores de vidrio
catalogos_clave_prod_stcc321,324,Cemento hidráulico
catalogos_clave_prod_stcc322,32411,"Cemento, hydlc, portland, nat"
catalogos_clave_prod_stcc323,325,Productos de arcilla estructural
catalogos_clave_prod_stcc324,3251,Ladrillos y teja de arcilla estructural
catalogos_clave_prod_stcc325,32511,"Ladrillos y bloques, arcilla y pizarra"
catalogos_clave_prod_stcc326,3253,Baldosas y baldosas de cerámica
catalogos_clave_prod_stcc327,3255,"Refractarios, arcilla y no arcilla."
catalogos_clave_prod_stcc328,3259,Productos misceláneos de arcilla estructural
catalogos_clave_prod_stcc329,32594,Teja de arcilla
catalogos_clave_prod_stcc330,326,Cerámica y productos relacionados
catalogos_clave_prod_stcc331,327,"Hormigón, yeso y yeso prd"
catalogos_clave_prod_stcc332,3271,Prd de hormigón
catalogos_clave_prod_stcc333,3274,Yeso de cal y cal
catalogos_clave_prod_stcc334,3275,Productos de yeso
catalogos_clave_prod_stcc335,328,Cortar piedra y productos de piedra
catalogos_clave_prod_stcc336,329,"Abrasivos, amianto y misceláneas"
catalogos_clave_prod_stcc337,3291,Productos abrasivos
catalogos_clave_prod_stcc338,3295,Tierras o minerales no metidos
catalogos_clave_prod_stcc339,33,Productos de metales primarios
catalogos_clave_prod_stcc340,331,Acerías y laminación prd
