id,clave,descripcion
catalogos_materiales_peligrosos92,M0092,"MUNICIONES ILUMINANTES con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos93,M0093,CARGAS EXPLOSIVAS DE SEPARACIÓN (Producto o material explosivo),
catalogos_materiales_peligrosos94,M0094,REMACHES EXPLOSIVOS,
catalogos_materiales_peligrosos95,M0095,COHETES con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos96,M0096,COHETES con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos97,M0097,COHETES con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos98,M0098,COHETES con cabeza inerte (Producto o material explosivo),
catalogos_materiales_peligrosos99,M0099,MOTORES DE COHETE (Producto o material explosivo),
catalogos_materiales_peligrosos100,M0100,"MUESTRAS DE EXPLOSIVOS, excepto los explosivos iniciadores (Producto o material explosivo)",
catalogos_materiales_peligrosos101,M0101,ARTIFICIOS MANUALES DE PIROTECNIA PARA SEÑALES (Producto o material explosivo),
catalogos_materiales_peligrosos102,M0102,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS (Producto o material explosivo)",
catalogos_materiales_peligrosos103,M0103,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS (Producto o material explosivo)",
catalogos_materiales_peligrosos104,M0104,SEÑALES DE SOCORRO para barcos (Producto o material explosivo),
catalogos_materiales_peligrosos105,M0105,SEÑALES DE SOCORRO para barcos (Producto o material explosivo),
catalogos_materiales_peligrosos106,M0106,SEÑALES FUMÍGENAS (Producto o material explosivo),
catalogos_materiales_peligrosos107,M0107,SEÑALES FUMÍGENAS (Producto o material explosivo),
catalogos_materiales_peligrosos108,M0108,CARGAS EXPLOSIVAS PARA SONDEOS (Producto o material explosivo),
catalogos_materiales_peligrosos109,M0109,TETRANITROANILINA (Producto o material explosivo),
catalogos_materiales_peligrosos110,M0110,TRINITROFENILMETILNITRAMI NA (TETRILO) (Producto o material explosivo),
catalogos_materiales_peligrosos111,M0111,"TRINITROTOLUENO (TNT) seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos112,M0112,TRAZADORES PARA MUNICIONES (Producto o material explosivo),
catalogos_materiales_peligrosos113,M0113,TRINITROANISOL (Producto o material explosivo),
catalogos_materiales_peligrosos114,M0114,"TRINITROBENCENO seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos115,M0115,"ÁCIDO TRINITROBENZOICO seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos116,M0116,TRINITRO-m-CRESOL (Producto o material explosivo),
catalogos_materiales_peligrosos117,M0117,TRINITRONAFTALENO (Producto o material explosivo),
catalogos_materiales_peligrosos118,M0118,TRINITROFENETOL (Producto o material explosivo),
catalogos_materiales_peligrosos119,M0119,"TRINITRORRESORCINOL (TRINITRORRESORCINA; ÁCIDO ESTÍFNICO) seco o humedecido con menos del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",
catalogos_materiales_peligrosos120,M0120,"NITRATO DE UREA seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos121,M0121,"CABEZAS DE COMBATE PARA TORPEDOS, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos122,M0122,NITRATO AMÓNICO,
catalogos_materiales_peligrosos123,M0123,"AZIDA DE BARIO seca o humedecida con menos del 50 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos124,M0124,MULTIPLICADORES CON DETONADOR (Producto o material explosivo),
catalogos_materiales_peligrosos125,M0125,"CICLOTETRAMETILEN- TETRANITRAMINA (OCTÓGENO; HMX) HUMEDECIDA con un mínimo del 15 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos126,M0126,"DINITRO-o-CRESOLATO SÓDICO seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos127,M0127,"PICRAMATO SÓDICO seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos128,M0128,"PICRAMATO DE CIRCONIO seco
ohumedecido con menos del 20 %,
en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos129,M0129,CARGAS MOLDEADAS LINEALES FLEXIBLES (Producto o material explosivo),
catalogos_materiales_peligrosos130,M0130,COHETES LANZACABOS (Producto o material explosivo),
catalogos_materiales_peligrosos131,M0131,COHETES LANZACABOS (Producto o material explosivo),
catalogos_materiales_peligrosos132,M0132,"EXPLOSIVOS PARA VOLADURAS, TIPO E (Producto o material explosivo)",
catalogos_materiales_peligrosos133,M0133,CARGAS PROPULSORAS DE ARTILLERÍA (Producto o material explosivo),
catalogos_materiales_peligrosos134,M0134,"MUNICIONES INCENDIARIAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos135,M0135,"MUNICIONES INCENDIARIAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos136,M0136,"MUNICIONES FUMÍGENAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos137,M0137,"MUNICIONES FUMÍGENAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos138,M0138,"MUNICIONES
INCENDIARIAScon líquido o gel, con carga dispersora, carga expulsora
o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos139,M0139,"DISPOSITIVOS ACTIVADOS POR EL AGUA, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos140,M0140,"DISPOSITIVOS ACTIVADOS POR EL AGUA, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos141,M0141,"MOTORES DE COHETE CON LÍQUIDOS HIPERGÓLICOS, con o sin carga expulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos142,M0142,"MUNICIONES ILUMINANTES con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos143,M0143,DETONADORES ELÉCTRICOS para voladuras (Producto o material explosivo),
catalogos_materiales_peligrosos144,M0144,ESPOLETAS DETONANTES (Producto o material explosivo),
catalogos_materiales_peligrosos145,M0145,"OCTOLITA (OCTOL) seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)",
catalogos_materiales_peligrosos146,M0146,DETONADORES NO ELÉCTRICOS para voladuras (Producto o material explosivo),
catalogos_materiales_peligrosos147,M0147,MULTIPLICADORES CON DETONADOR (Producto o material explosivo),
catalogos_materiales_peligrosos148,M0148,CARGAS PROPULSORAS (Producto o material explosivo),
catalogos_materiales_peligrosos149,M0149,CARGAS PROPULSORAS (Producto o material explosivo),
catalogos_materiales_peligrosos150,M0150,CARTUCHOS DE ACCIONAMIENTO (Producto o material explosivo),
catalogos_materiales_peligrosos151,M0151,CARTUCHOS DE ACCIONAMIENTO (Producto o material explosivo),
catalogos_materiales_peligrosos152,M0152,CARTUCHOS PARA POZOS DE PETRÓLEO (Producto o material explosivo),
